Time_s,Height_m,Thrust_N,Drag_N,Inertial_Force_N,Accel_ms2,Velocity_ms
0,0,586437.4,0,175483.9,4.19,0
0.01,0,586437.4,0,175500,4.19,0
0.02,0,586437.4,0,175516.1,4.19,0.1
0.03,0,586437.4,0,175532.2,4.19,0.1
0.04,0,586437.4,0,175548.3,4.19,0.2
0.05,0,586437.5,0,175564.4,4.19,0.2
0.06,0,586437.5,0,175580.5,4.19,0.3
0.07,0,586437.5,0,175596.6,4.19,0.3
0.08,0,586437.5,0,175612.8,4.19,0.3
0.09,0,586437.5,0,175628.9,4.19,0.4
0.1,0,586437.5,0,175645,4.19,0.4
0.11,0,586437.6,0.1,175661.1,4.19,0.5
0.12,0,586437.6,0.1,175677.2,4.19,0.5
0.13,0,586437.6,0.1,175693.3,4.19,0.5
0.14,0,586437.6,0.1,175709.5,4.2,0.6
0.15,0,586437.7,0.1,175725.6,4.2,0.6
0.16,0.1,586437.7,0.1,175741.7,4.2,0.7
0.17,0.1,586437.7,0.1,175757.8,4.2,0.7
0.18,0.1,586437.8,0.1,175774,4.2,0.8
0.19,0.1,586437.8,0.2,175790.1,4.2,0.8
0.2,0.1,586437.8,0.2,175806.2,4.2,0.8
0.21,0.1,586437.9,0.2,175822.4,4.2,0.9
0.22,0.1,586437.9,0.2,175838.5,4.2,0.9
0.23,0.1,586438,0.2,175854.6,4.2,1
0.24,0.1,586438,0.3,175870.8,4.2,1
0.25,0.1,586438.1,0.3,175886.9,4.2,1
0.26,0.1,586438.1,0.3,175903,4.2,1.1
0.27,0.2,586438.2,0.3,175919.2,4.2,1.1
0.28,0.2,586438.2,0.3,175935.3,4.2,1.2
0.29,0.2,586438.3,0.4,175951.4,4.2,1.2
0.3,0.2,586438.4,0.4,175967.6,4.2,1.3
0.31,0.2,586438.4,0.4,175983.7,4.2,1.3
0.32,0.2,586438.5,0.4,175999.9,4.21,1.3
0.33,0.2,586438.6,0.5,176016,4.21,1.4
0.34,0.2,586438.6,0.5,176032.2,4.21,1.4
0.35,0.3,586438.7,0.5,176048.3,4.21,1.5
0.36,0.3,586438.8,0.6,176064.5,4.21,1.5
0.37,0.3,586438.8,0.6,176080.6,4.21,1.6
0.38,0.3,586438.9,0.6,176096.8,4.21,1.6
0.39,0.3,586439,0.7,176112.9,4.21,1.6
0.4,0.3,586439.1,0.7,176129.1,4.21,1.7
0.41,0.4,586439.2,0.7,176145.2,4.21,1.7
0.42,0.4,586439.3,0.8,176161.4,4.21,1.8
0.43,0.4,586439.3,0.8,176177.5,4.21,1.8
0.44,0.4,586439.4,0.8,176193.7,4.21,1.8
0.45,0.4,586439.5,0.9,176209.9,4.21,1.9
