Time_s,Height_m,Thrust_N,Drag_N,Inertial_Force_N,Accel_ms2,Velocity_ms
0,0,779661.3,0,383901.2,9.51,0
10,492.5,782565.6,6200.2,401633.5,10.51,100.2
20,2035.2,790805.2,25136.3,412075.6,11.42,209.9
30,4719.3,802392.2,54101.3,415935.1,12.25,328.3
40,8630.3,814242.9,79316.2,423892.5,13.33,455.7
50,13884,823339,70768.7,462927.8,15.61,598.9
60,20704.9,828103.7,41771.2,518143.4,18.82,770.7
70,29410.2,829935.6,17440.3,565814.3,22.29,976.2
80,40344.7,830455,5188.6,600134.5,25.81,1216.6
90,53862.9,830568,1356,625648,29.64,1493.4
100,70350.7,830590.3,241.2,648341.7,34.17,1811.7
110,89563.8,0,10.8,-171659.5,-9.54,1920.4
120,108292.1,0,0.7,-170656.4,-9.48,1825.3
130,126072.2,0,0,-169720.9,-9.43,1730.8
140,142909.4,0,0,-168842.7,-9.38,1636.7
150,158808.5,0,0,-168019.7,-9.33,1543.2
160,173774.2,0,0,-167250.5,-9.29,1450
170,187810.7,0,0,-166533.8,-9.25,1357.3
180,200922,0,0,-165868.6,-9.21,1265
190,213111.8,0,0,-165253.6,-9.18,1173
200,224383.4,0,0,-164688.1,-9.15,1081.4
210,234740.2,0,0,-164170.9,-9.12,990
220,244184.8,0,0,-163701.5,-9.09,898.9
230,252720,0,0,-163279,-9.07,808.1
240,260348,0,0,-162902.7,-9.05,717.5
250,267071,0,0,-162572.2,-9.03,627.1
260,272890.8,0,0,-162286.9,-9.02,536.9
270,277809,0,0,-162046.4,-9,446.8
280,281826.9,0,0,-161850.3,-8.99,356.8
290,284945.6,0,0,-161698.4,-8.98,266.9
300,287165.9,0,0,-161590.3,-8.98,177.1
