Time_s,Altitude_m,Velocity_ms,Mass_kg,Acceleration_ms2,AccelG,Thrust_N,Drag_N,MachNumber,AtmDensity_kgm3,AtmPressure_Pa,CombTemp_K,CombPressure_Pa,NetForce_N
0.0,0.000000,0.000000,155250.000000,10.39946916,1.06045073,3137000.00,0.000000,0.00000000,1.2250000000,101325.0000,3600.00,9720000.00,1614517.587500
0.1,0.000000,1.039947,155162.360281,10.41086758,1.06161305,3137000.00,2.253527,0.00305631,1.2250000000,101325.0000,3600.00,9720000.00,1615374.786028
0.2,0.103995,2.081034,155074.720561,10.42225007,1.06277374,3137000.00,9.023880,0.00611597,1.2249850126,101323.7603,3600.00,9720000.00,1616227.517377
0.3,0.312098,3.123259,154987.080842,10.43361652,1.06393279,3137000.00,20.325459,0.00917900,1.2249550220,101321.2797,3600.00,9720000.00,1617075.767117
0.4,0.624424,4.166620,154899.441122,10.44496681,1.06509020,3137000.00,36.172319,0.01224539,1.2249100128,101317.5568,3600.00,9720000.00,1617919.521164
0.5,1.041086,5.211117,154811.801403,10.45630082,1.06624595,3137000.00,56.578165,0.01531516,1.2248499703,101312.5904,3600.00,9720000.00,1618758.765782
0.6,1.562198,6.256747,154724.161683,10.46761844,1.06740002,3137000.00,81.556351,0.01838832,1.2247748804,101306.3794,3600.00,9720000.00,1619593.487588
0.7,2.187872,7.303509,154636.521964,10.47891955,1.06855242,3137000.00,111.119876,0.02146486,1.2246847296,101298.9226,3600.00,9720000.00,1620423.673550
0.8,2.918223,8.351401,154548.882244,10.49020405,1.06970312,3137000.00,145.281382,0.02454479,1.2245795047,101290.2190,3600.00,9720000.00,1621249.310996
0.9,3.753363,9.400421,154461.242525,10.50147183,1.07085211,3137000.00,184.053155,0.02762813,1.2244591935,101280.2676,3600.00,9720000.00,1622070.387611
1.0,4.693405,10.450568,154373.602805,10.51272278,1.07199939,3137000.00,227.447114,0.03071487,1.2243237842,101269.0673,3600.00,9720000.00,1622886.891441
1.1,5.738462,11.501841,154285.963086,10.52395680,1.07314494,3137000.00,275.474819,0.03380502,1.2241732654,101256.6172,3600.00,9720000.00,1623698.810899
